"Object name","Astrometric R.A. (hh:mm:ss.ss)","Astrometric Dec. (dd mm′ss.s″)","RA center dist. (″)","Dec. center dist. (″)","Norm center dist. (″)","Visual magnitude (V)","RA rate (″/h)","Dec. rate (″/h)","",""
"9440 (1997 FZ1)","04:37:14.78","+22 20'11.6""","3.3e+2","2.0e+4","2.1e+4","19.4","1.5e+1","3.5e+0","9440","a0009440"
"9443 (1997 HR9)","04:46:11.23","+21 53'46.8""","8.0e+3","2.0e+4","2.1e+4","19.0","2.7e+1","6.4e+0","9443","a0009443"
"9553 Colas (1985 UG2)","04:21:37.79","+18 38'58.4""","-1.0e+4","8.0e+3","1.5e+4","17.5","3.1e+1","2.7e+0","9553","a0009553"
"9558 (1986 QB3)","04:18:56.71","+19 03'13.7""","-2.0e+4","9.0e+3","1.8e+4","18.0","1.0e+1","2.5e+0","9558","a0009558"
"9568 (1988 AX4)","04:24:43.86","+15 03'20.6""","-1.0e+4","-5.0e+3","1.2e+4","17.9","2.0e+1","-6.6e+0","9568","a0009568"
"9578 Klyazma (1989 GA3)","04:17:46.76","+21 22'58.1""","-2.0e+4","2.0e+4","2.4e+4","18.8","1.6e+1","2.5e+0","9578","a0009578"
"9638 Fuchs (1994 PO7)","04:45:47.11","+21 27'23.0""","8.0e+3","2.0e+4","1.9e+4","19.8","1.3e+1","1.8e+0","9638","a0009638"
"9657 Ucka (1996 DG2)","04:23:41.24","+20 30'43.0""","-1.0e+4","1.0e+4","1.8e+4","19.0","2.4e+0","3.8e-1","9657","a0009657"
"9679 Crutzen (2600 P-L)","05:00:03.10","+21 37'04.4""","2.0e+4","2.0e+4","2.7e+4","20.0","2.9e+1","2.1e+0","9679","a0009679"
"9684 Olieslagers (4113 P-L)","04:19:32.52","+20 26'28.4""","-1.0e+4","1.0e+4","2.1e+4","18.4","1.9e+1","1.7e+0","9684","a0009684"
"9685 Korteweg (4247 P-L)","04:46:11.80","+23 02'42.9""","8.0e+3","2.0e+4","2.5e+4","19.4","1.6e+1","2.8e+0","9685","a0009685"
"9688 Goudsmit (4665 P-L)","04:16:51.71","+21 32'35.9""","-2.0e+4","2.0e+4","2.5e+4","17.5","2.0e+1","1.1e+1","9688","a0009688"
"9692 Kuperus (6354 P-L)","04:44:41.76","+19 31'12.5""","7.0e+3","1.0e+4","1.3e+4","20.1","3.2e+1","4.6e-1","9692","a0009692"
"9742 Worpswede (1987 WT1)","04:11:42.74","+16 53'56.6""","-2.0e+4","2.0e+3","2.2e+4","18.3","5.6e+0","6.8e-1","9742","a0009742"
"10245 Inselsberg (6071 P-L)","04:16:30.71","+15 13'42.2""","-2.0e+4","-4.0e+3","1.8e+4","18.4","8.3e+0","-7.3e+0","10245","a0010245"
"10267 Giuppone (1978 VD7)","04:57:45.83","+21 20'26.0""","2.0e+4","2.0e+4","2.5e+4","19.0","2.2e+1","4.5e+0","10267","a0010267"
"10284 Damienlemay (1981 QY2)","04:10:27.50","+17 15'53.8""","-2.0e+4","3.0e+3","2.3e+4","18.3","6.4e+0","-7.0e-1","10284","a0010284"
"10363 (1994 UP11)","04:18:32.81","+17 37'56.3""","-2.0e+4","4.0e+3","1.6e+4","17.1","3.4e+1","8.1e+0","10363","a0010363"
"10435 Tjeerd (6064 P-L)","04:51:25.71","+13 49'42.8""","1.0e+4","-1.0e+4","1.6e+4","18.1","2.8e+1","-1.1e+1","10435","a0010435"
"10483 Tomburns (1983 RP2)","04:19:57.73","+15 11'41.1""","-1.0e+4","-5.0e+3","1.5e+4","17.3","3.0e+1","-2.3e+0","10483","a0010483"
"10664 Phemios (5187 T-2)","04:15:26.86","+21 57'37.0""","-2.0e+4","2.0e+4","2.7e+4","18.9","4.7e-1","-1.4e+0","10664","a0010664"
"10708 Richardspalding (1981 UE26)","04:42:59.67","+19 15'52.6""","5.0e+3","1.0e+4","1.1e+4","17.8","1.6e+1","2.2e+0","10708","a0010708"
"10745 Arnstadt (1989 AK6)","05:01:21.98","+13 49'23.0""","2.0e+4","-1.0e+4","2.3e+4","19.4","1.3e+1","-2.3e+0","10745","a0010745"
